status_id,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
246675545449582_1537523323031458,2,14,3,0,12,2,0,0,0,0
246675545449582_1530240427093081,2,293,6,1,275,15,3,0,0,0
246675545449582_1527322154051575,2,236,12,0,226,8,1,1,0,0
246675545449582_1521905564593234,2,312,10,0,291,18,3,0,0,0
246675545449582_1502675606516230,2,24,12,0,24,0,0,0,0,0
246675545449582_1497272363723221,1,16,9,0,15,1,0,0,0,0
246675545449582_1495724170544707,2,33,12,0,32,1,0,0,0,0
246675545449582_1492286100888514,2,675,10,0,645,29,1,0,0,0
246675545449582_1491577434292714,2,737,18,0,697,31,9,0,0,0
246675545449582_1490258864424571,2,572,16,0,554,16,2,0,0,0
246675545449582_1479588818824909,2,23,7,0,20,3,0,0,0,0
246675545449582_1477842952332829,2,266,25,0,250,11,5,0,0,0
246675545449582_1477788442338280,4,378,512,30,348,27,2,0,0,1
246675545449582_1475847732532351,4,421,709,30,373,45,2,0,1,0
246675545449582_1474958169287974,4,1493,1979,753,1333,139,9,3,8,1
246675545449582_1472990009484790,2,76,17,0,76,0,0,0,0,0
246675545449582_1466481810135610,2,36,11,0,34,2,0,0,0,0
246675545449582_1460991780684613,2,19,8,0,18,0,0,1,0,0
246675545449582_1458408214276303,2,27,10,0,27,0,0,0,0,0
246675545449582_1454283141355477,2,117,2,53,108,9,0,0,0,0
246675545449582_1454277441356047,2,146,1,0,145,1,0,0,0,0
246675545449582_1453716178078840,2,166,0,13,151,7,0,0,8,0
246675545449582_1453707518079706,2,190,0,31,171,0,0,0,19,0
246675545449582_1452022754914849,2,217,16,0,213,4,0,0,0,0
246675545449582_1451936094923515,2,458,14,0,451,3,4,0,0,0
246675545449582_1451093285007796,2,553,15,0,538,12,3,0,0,0
246675545449582_1451078198342638,2,203,18,11,190,7,6,0,0,0
246675545449582_1450141395102985,2,1005,25,1,979,16,9,1,0,0
246675545449582_1450110585106066,4,202,145,23,182,19,0,0,0,1
246675545449582_1449381378512320,2,428,14,0,419,4,5,0,0,0
246675545449582_1448675405249584,2,479,17,0,462,10,7,0,0,0
246675545449582_1448558785261246,4,212,116,11,201,10,1,0,0,0
246675545449582_1447515715365553,4,225,157,17,211,14,0,0,0,0
246675545449582_1446827718767686,4,171,46,5,156,12,2,1,0,0
246675545449582_1446531832130608,4,247,120,16,232,14,1,0,0,0
246675545449582_1445552635561861,4,269,453,39,242,26,1,0,0,0
246675545449582_1445400822243709,4,258,486,32,235,23,0,0,0,0
246675545449582_1445354408915017,2,109,2,1,104,5,0,0,0,0
246675545449582_1445261388924319,2,97,5,0,96,0,1,0,0,0
246675545449582_1444576748992783,4,280,199,25,254,24,2,0,0,0
246675545449582_1444533065663818,4,325,77,21,293,30,1,1,0,0
246675545449582_1444306942353097,2,51,11,0,51,0,0,0,0,0
246675545449582_1443547965762328,4,280,825,47,243,35,1,1,0,0
246675545449582_1442942755822849,4,688,0,0,632,34,0,0,22,0
246675545449582_1442580062525785,4,365,805,46,320,39,1,3,0,2
246675545449582_1441410912642700,2,295,5,0,295,0,0,0,0,0
246675545449582_1440443499406108,2,27,14,0,26,1,0,0,0,0
246675545449582_1434870273296764,2,15,11,0,15,0,0,0,0,0
246675545449582_1433620366755088,2,16,12,0,16,0,0,0,0,0
246675545449582_1430023863781405,2,29,12,0,29,0,0,0,0,0
246675545449582_1429927933790998,4,28,6,0,28,0,0,0,0,0
246675545449582_1428095953974196,2,8,8,0,8,0,0,0,0,0
246675545449582_1427202707396854,2,10,9,0,10,0,0,0,0,0
246675545449582_1426309230819535,2,39,8,0,39,0,0,0,0,0
246675545449582_1425407187576406,2,49,11,0,47,2,0,0,0,0
246675545449582_1423676417749483,4,226,449,37,189,25,1,1,10,0
246675545449582_1423672414416550,4,104,49,13,91,12,0,0,1,0
246675545449582_1422896067827518,2,251,17,0,244,7,0,0,0,0
246675545449582_1422753927841732,4,244,589,48,213,29,1,1,0,0
246675545449582_1422162634567528,4,252,558,41,204,45,1,1,0,1
246675545449582_1421238677993257,4,121,15,4,114,4,2,1,0,0
246675545449582_1420966601353798,2,321,5,0,307,11,2,1,0,0
246675545449582_1420888391361619,2,103,8,3,99,4,0,0,0,0
246675545449582_1420827441367714,4,136,31,16,122,14,0,0,0,0
246675545449582_1420707958046329,4,337,247,27,300,35,1,1,0,0
246675545449582_1420240374759754,2,648,13,0,627,18,3,0,0,0
246675545449582_1419833428133782,4,175,157,14,157,18,0,0,0,0
246675545449582_1419167851533673,4,339,424,36,296,38,1,4,0,0
246675545449582_1419130778204047,2,341,3,0,331,8,2,0,0,0
246675545449582_1418903018226823,4,177,131,27,150,27,0,0,0,0
246675545449582_1413298985453893,2,201,0,0,195,4,2,0,0,0
246675545449582_1413090338808091,2,43,7,0,41,2,0,0,0,0
246675545449582_1411323222318136,2,40,7,0,39,1,0,0,0,0
246675545449582_1408385109278614,2,58,14,0,57,1,0,0,0,0
246675545449582_1407672699349855,4,403,525,42,363,36,1,3,0,0
246675545449582_1407589059358219,2,148,4,3,144,4,0,0,0,0
246675545449582_1407502582700200,2,150,24,2,144,6,0,0,0,0
246675545449582_1406975012752957,2,53,12,0,53,0,0,0,0,0
246675545449582_1406936809423444,3,144,15,8,140,4,0,0,0,0
246675545449582_1406839432766515,4,298,491,46,262,34,2,0,0,0
246675545449582_1406792459437879,2,171,4,1,166,5,0,0,0,0
246675545449582_1404391233011335,2,4410,633,257,4315,73,17,5,0,0
246675545449582_1401614789955646,4,374,588,46,327,47,0,0,0,0
246675545449582_1400641396719652,2,181,20,0,180,1,0,0,0,0
246675545449582_1397536097030182,2,267,20,1,249,8,10,0,0,0
246675545449582_1397278180389307,2,60,7,0,59,1,0,0,0,0
246675545449582_1395111113939347,2,98,23,5,95,2,1,0,0,0
246675545449582_1394887663961692,4,26,7,0,26,0,0,0,0,0
246675545449582_1393786207405171,2,255,18,0,244,11,0,0,0,0
246675545449582_1392897467494045,2,174,6,1,167,5,2,0,0,0
246675545449582_1392132690903856,2,64,5,1,59,5,0,0,0,0
246675545449582_1392113310905794,2,62,3,0,58,4,0,0,0,0
246675545449582_1391704667613325,4,192,417,40,168,22,1,1,0,0
246675545449582_1391646507619141,2,110,18,6,110,0,0,0,0,0
246675545449582_1391645867619205,2,119,12,7,117,2,0,0,0,0
246675545449582_1389882727795519,2,42,11,0,41,0,1,0,0,0
246675545449582_1389639647819827,4,234,355,34,178,52,2,0,1,1
246675545449582_1388231731293952,2,54,10,0,53,1,0,0,0,0
246675545449582_1388230471294078,2,82,8,0,80,1,0,0,1,0
246675545449582_1388082824642176,2,18,8,0,18,0,0,0,0,0
246675545449582_1385237634926695,2,147,17,7,141,5,1,0,0,0
246675545449582_1385219348261857,2,80,8,0,79,1,0,0,0,0
246675545449582_1384098221707303,4,299,564,42,262,34,1,1,0,1
246675545449582_1382019818581810,2,629,11,1,607,18,4,0,0,0
246675545449582_1381793938604398,2,69,2,0,67,2,0,0,0,0
246675545449582_1381004085350050,4,219,110,17,190,26,1,2,0,0
246675545449582_1380978478685944,2,30,2,0,27,3,0,0,0,0
246675545449582_1380462345404224,2,65,1,0,62,2,1,0,0,0
246675545449582_1380211685429290,2,161,7,0,153,8,0,0,0,0
246675545449582_1380140728769719,4,398,605,30,348,44,3,3,0,0
246675545449582_1379424162174709,2,47,7,0,47,0,0,0,0,0
246675545449582_1379278652189260,2,182,3,4,177,5,0,0,0,0
246675545449582_1379165728867219,4,317,158,32,269,47,1,0,0,0
246675545449582_1378449768938815,4,571,888,107,459,107,1,1,1,2
246675545449582_1377472849036507,2,16,10,0,15,1,0,0,0,0
246675545449582_1375841469199645,2,30,9,0,30,0,0,0,0,0
246675545449582_1375825209201271,2,57,7,0,57,0,0,0,0,0
246675545449582_1374922852624840,2,74,6,3,74,0,0,0,0,0
246675545449582_1373053352811790,4,368,911,50,317,50,1,0,0,0
246675545449582_1373040689479723,2,19,3,0,19,0,0,0,0,0
246675545449582_1372717162845409,2,176,3,0,175,0,1,0,0,0
246675545449582_1372031632913962,2,133,7,0,133,0,0,0,0,0
246675545449582_1371921179591674,2,162,6,2,158,3,1,0,0,0
246675545449582_1371785262938599,4,734,996,73,601,116,11,6,0,0
246675545449582_1370957466354712,3,42,16,9,41,1,0,0,0,0
246675545449582_1370352769748515,3,33,6,3,31,2,0,0,0,0
246675545449582_1367261536724305,4,29,6,1,29,0,0,0,0,0
246675545449582_1367178110065981,2,43,6,0,42,1,0,0,0,0
246675545449582_1366562330127559,2,14,6,0,13,1,0,0,0,0
246675545449582_1365608996889559,4,475,574,48,406,63,4,2,0,0
246675545449582_1365207070263085,2,50,8,2,49,1,0,0,0,0
246675545449582_1365188530264939,2,94,23,6,94,0,0,0,0,0
246675545449582_1361306617319797,4,303,34,3,291,11,1,0,0,0
246675545449582_1361198480663944,2,168,7,1,167,1,0,0,0,0
246675545449582_1360915977358861,2,248,14,0,241,7,0,0,0,0
246675545449582_1360313524085773,2,422,6,0,410,8,3,1,0,0
246675545449582_1360110617439397,2,189,3,0,184,2,0,3,0,0
246675545449582_1360055367444922,2,390,17,2,382,5,3,0,0,0
246675545449582_1359829454134180,2,618,28,0,597,14,7,0,0,0
246675545449582_1359179027532556,2,191,2,2,188,2,1,0,0,0
246675545449582_1356963477754111,4,321,1381,67,275,44,1,1,0,0
246675545449582_1354347211349071,2,364,7,2,347,15,2,0,0,0
246675545449582_1351151295001996,2,51,10,0,51,0,0,0,0,0
246675545449582_1350461668404292,4,282,524,38,247,34,0,1,0,0
246675545449582_1347432472040545,2,369,14,1,362,7,0,0,0,0
246675545449582_1346580615459064,2,138,16,6,133,4,1,0,0,0
246675545449582_1343559165761209,2,96,9,1,93,1,2,0,0,0
246675545449582_1342399675877158,2,186,11,0,184,1,1,0,0,0
246675545449582_1342236625893463,2,487,15,0,461,14,12,0,0,0
246675545449582_1342150709235388,4,282,19,4,257,20,3,2,0,0
246675545449582_1332714503512342,2,383,8,1,367,13,3,0,0,0
246675545449582_1332163873567405,2,216,0,1,211,5,0,0,0,0
246675545449582_1332070653576727,2,48,0,0,45,2,1,0,0,0
246675545449582_1331955210254938,4,885,462,26,659,220,0,2,0,0
246675545449582_1331929853590807,2,185,11,1,175,10,0,0,0,0
246675545449582_1331853133598479,2,259,1,1,251,7,0,1,0,0
246675545449582_1331760736941052,2,299,9,0,291,8,0,0,0,0
246675545449582_1331658313617961,2,199,9,1,186,13,0,0,0,0
246675545449582_1330910960359363,2,717,40,1,680,30,7,0,0,0
246675545449582_1329160057201120,2,155,2,0,150,5,0,0,0,0
246675545449582_1328148713968921,2,293,8,0,282,11,0,0,0,0
246675545449582_1325518754231917,2,243,6,0,237,5,1,0,0,0
246675545449582_1320853268031799,2,264,2,0,256,2,5,0,0,0
246675545449582_1319907678126358,2,313,3,0,297,7,6,0,0,0
246675545449582_1319282378188888,2,208,1,0,201,7,0,0,0,0
246675545449582_1319278494855943,2,216,0,0,209,6,1,0,0,0
246675545449582_1319045328212593,2,247,6,0,234,9,1,0,0,0
246675545449582_1318896854894107,2,152,1,0,146,5,1,0,0,0
246675545449582_1318160668301059,2,387,3,0,368,16,1,0,0,0
246675545449582_1317164368400689,2,178,9,0,170,6,0,0,0,0
246675545449582_1317039571746502,2,218,4,0,212,5,1,0,0,0
246675545449582_1316848781765581,2,270,3,0,256,10,3,0,0,0
246675545449582_1315331711917288,2,351,4,1,344,6,0,0,0,0
246675545449582_1315158578601268,2,232,0,2,224,8,0,0,0,0
246675545449582_1315153498601776,2,252,3,0,244,4,4,0,0,0
246675545449582_1315090955274697,2,122,0,0,114,8,0,0,0,0
246675545449582_1314302952020164,2,209,4,0,199,9,1,0,0,0
246675545449582_1314133352037124,2,305,5,1,295,10,0,0,0,0
246675545449582_1312235792226880,2,71,10,2,70,1,0,0,0,0
246675545449582_1306375336146259,2,290,12,0,275,13,1,1,0,0
246675545449582_1298172296966563,2,67,6,3,66,0,1,0,0,0
246675545449582_1297316837052109,2,783,11,0,752,30,1,0,0,0
246675545449582_1289646377819155,2,77,2,0,76,1,0,0,0,0
246675545449582_1288754317908361,4,22,0,0,22,0,0,0,0,0
246675545449582_1287866294663830,2,103,0,0,100,2,1,0,0,0
246675545449582_1286953054755154,4,32,0,2,32,0,0,0,0,0
246675545449582_1286800308103762,2,239,5,2,229,8,0,0,2,0
246675545449582_1285927694857690,2,111,6,0,110,1,0,0,0,0
246675545449582_1283769161740210,4,51,0,1,51,0,0,0,0,0
246675545449582_1303369639780162,4,34,4,0,34,0,0,0,0,0
246675545449582_1280453208738472,1,15,0,0,15,0,0,0,0,0
246675545449582_1279507272166399,4,75,0,5,75,0,0,0,0,0
246675545449582_1278450792272047,2,177,2,0,173,2,2,0,0,0
246675545449582_1278061308977662,2,520,8,0,505,13,2,0,0,0
246675545449582_1276088762508250,2,134,2,0,132,2,0,0,0,0
246675545449582_1276013659182427,2,228,1,1,220,7,1,0,0,0
246675545449582_1274485052668621,4,498,254,17,408,77,5,6,1,1
246675545449582_1272251959558597,2,166,5,2,159,7,0,0,0,0
246675545449582_1270221603094966,4,272,265,20,228,44,0,0,0,0
246675545449582_1270186029765190,2,127,7,1,125,2,0,0,0,0
246675545449582_1269477749836018,2,30,0,0,29,0,1,0,0,0
246675545449582_1269093463207780,1,33,1,1,33,0,0,0,0,0
246675545449582_1265081296942330,2,252,5,0,239,9,4,0,0,0
246675545449582_1264410220342771,2,287,0,0,286,0,1,0,0,0
246675545449582_1263257983791328,2,264,8,3,257,5,2,0,0,0
246675545449582_1263186560465137,2,152,5,1,148,3,1,0,0,0
246675545449582_1263178873799239,2,61,5,0,57,3,1,0,0,0
246675545449582_1263174217133038,4,172,7,7,163,6,2,1,0,0
246675545449582_1262985247151935,4,616,523,21,459,125,21,8,0,1
246675545449582_1262105903906536,2,188,0,0,184,4,0,0,0,0
246675545449582_1262034897246970,4,593,309,23,484,99,1,4,4,1
246675545449582_1260586510725142,2,189,2,0,182,5,2,0,0,0
246675545449582_1259500860833707,2,178,5,0,175,3,0,0,0,0
246675545449582_1256629337787526,2,318,7,0,313,4,1,0,0,0
246675545449582_1255176157932844,2,362,9,0,352,7,3,0,0,0
246675545449582_1254118221371971,2,48,6,0,48,0,0,0,0,0
246675545449582_1254116288038831,2,248,1,0,244,3,1,0,0,0
246675545449582_1253313294785797,2,520,2,0,509,11,0,0,0,0
246675545449582_1253204511463342,2,97,8,2,94,3,0,0,0,0
246675545449582_1251371934979933,2,400,16,0,392,6,2,0,0,0
246675545449582_1250654545051672,2,218,0,0,212,6,0,0,0,0
246675545449582_1250548631728930,2,77,13,4,77,0,0,0,0,0
246675545449582_1250132478437212,2,204,4,0,198,3,3,0,0,0
246675545449582_1248887611895032,2,405,6,0,399,6,0,0,0,0
246675545449582_1248175795299547,2,210,0,0,204,6,0,0,0,0
246675545449582_1247680408682419,2,214,1,0,208,5,1,0,0,0
246675545449582_1246920978758362,2,374,4,0,360,7,7,0,0,0
246675545449582_1246913488759111,2,457,3,0,444,10,3,0,0,0
246675545449582_1246883542095439,2,215,0,0,205,8,2,0,0,0
246675545449582_1246498245467302,4,7,5,0,7,0,0,0,0,0
246675545449582_1244826458967814,2,38,6,3,38,0,0,0,0,0
246675545449582_1242543832529410,2,168,1,0,168,0,0,0,0,0
246675545449582_1242501812533612,2,277,0,0,274,2,1,0,0,0
246675545449582_1241445855972541,2,196,1,0,190,6,0,0,0,0
246675545449582_1241037512680042,2,100,3,0,99,1,0,0,0,0
246675545449582_1240323252751468,2,85,4,0,79,4,2,0,0,0
246675545449582_1239409519509508,2,34,10,6,34,0,0,0,0,0
246675545449582_1237408416376285,2,41,9,0,39,1,1,0,0,0
246675545449582_1237407966376330,2,23,5,1,22,1,0,0,0,0
246675545449582_1236222419828218,4,217,24,5,206,10,1,0,0,0
246675545449582_1235278706589256,2,161,9,2,158,3,0,0,0,0
246675545449582_1235186376598489,2,279,0,0,276,3,0,0,0,0
246675545449582_1233650100085450,2,97,9,3,95,2,0,0,0,0
246675545449582_1233223386794788,2,489,3,0,480,6,3,0,0,0
246675545449582_1232468266870300,2,245,4,0,242,3,0,0,0,0
246675545449582_1231639473619846,2,270,5,0,268,2,0,0,0,0
246675545449582_1231490300301430,2,166,11,1,165,1,0,0,0,0
246675545449582_1231328130317647,4,121,18,3,110,11,0,0,0,0
246675545449582_1231287666988360,2,33,9,1,33,0,0,0,0,0
246675545449582_1231287606988366,2,72,1,0,72,0,0,0,0,0
246675545449582_1231280986989028,2,174,0,0,173,1,0,0,0,0
246675545449582_1231257093658084,2,192,0,0,186,3,3,0,0,0
246675545449582_1231242440326216,4,286,61,5,250,30,5,1,0,0
246675545449582_1231206533663140,2,231,0,0,230,0,1,0,0,0
246675545449582_1231206253663168,2,138,1,0,135,2,1,0,0,0
246675545449582_1230590363724757,2,104,6,1,102,2,0,0,0,0
246675545449582_1230583823725411,2,91,10,4,90,0,1,0,0,0
246675545449582_1230346027082524,2,682,22,0,657,12,13,0,0,0
246675545449582_1229012967215830,4,1379,769,69,1131,234,4,4,2,4
246675545449582_1228848210565639,2,629,16,1,610,16,2,1,0,0
246675545449582_1226281594155634,4,58,4,3,58,0,0,0,0,0
246675545449582_1225558117561315,2,272,9,0,268,2,2,0,0,0
246675545449582_1225220974261696,2,213,2,2,207,6,0,0,0,0
246675545449582_1224187674365026,2,225,2,0,220,5,0,0,0,0
246675545449582_1224030577714069,2,463,48,2,450,8,4,1,0,0
246675545449582_1223199424463851,2,285,7,0,276,8,1,0,0,0
246675545449582_1223157987801328,2,526,18,0,512,12,2,0,0,0
246675545449582_1223077674476026,2,418,4,0,406,9,3,0,0,0
246675545449582_1222413617875765,2,515,10,0,505,9,0,1,0,0
246675545449582_1222412677875859,2,377,5,0,365,10,2,0,0,0
246675545449582_1222237971226663,2,1186,37,1,1161,19,6,0,0,0
246675545449582_1221151348001992,4,591,560,49,498,84,3,4,1,1
246675545449582_1216734251777035,2,424,8,1,411,13,0,0,0,0
246675545449582_1215880921862368,2,119,16,0,105,0,0,0,8,6
246675545449582_1215763855207408,2,67,9,0,66,1,0,0,0,0
246675545449582_1215755788541548,2,439,10,3,424,15,0,0,0,0
246675545449582_1215755648541562,3,1043,117,24,984,58,1,0,0,0
246675545449582_1215751681875292,2,690,10,0,667,21,2,0,0,0
246675545449582_1213633825420411,3,84,7,1,84,0,0,0,0,0
246675545449582_1212815102168950,2,491,16,0,478,11,2,0,0,0
246675545449582_1211991745584619,2,63,1,0,61,0,2,0,0,0
246675545449582_1211406398976487,1,46,3,1,46,0,0,0,0,0
246675545449582_1208615195922274,2,320,17,0,309,9,1,1,0,0
246675545449582_1206677249449402,4,51,8,6,51,0,0,0,0,0
246675545449582_1204775666306227,2,85,9,2,83,2,0,0,0,0
246675545449582_1204766949640432,2,99,13,0,98,1,0,0,0,0
246675545449582_1202681639848963,2,213,13,1,212,1,0,0,0,0
246675545449582_1200635193386941,2,156,12,0,154,2,0,0,0,0
246675545449582_1199699436813850,4,204,128,4,184,17,0,2,1,0
246675545449582_1199487093501751,2,246,8,0,241,3,2,0,0,0
246675545449582_1198739810243146,2,225,2,0,219,6,0,0,0,0
246675545449582_1198573446926449,4,256,427,30,191,62,1,2,0,0
246675545449582_1198444310272696,2,146,1,0,142,2,2,0,0,0
246675545449582_1197655157018278,2,212,0,1,206,5,0,1,0,0
246675545449582_1196791003771360,2,229,3,0,225,4,0,0,0,0
246675545449582_1196036140513513,2,66,2,0,64,1,1,0,0,0
246675545449582_1196034470513680,2,158,0,0,157,1,0,0,0,0
246675545449582_1195868550530272,2,301,7,0,288,6,6,0,1,0
246675545449582_1195835127200281,4,88,1,0,87,1,0,0,0,0
246675545449582_1195826603867800,4,148,54,2,126,18,4,0,0,0
246675545449582_1194979570619170,2,398,11,0,390,4,4,0,0,0
246675545449582_1194152324035228,2,89,4,0,86,3,0,0,0,0
246675545449582_1194152114035249,2,151,0,0,146,3,2,0,0,0
246675545449582_1193948517388942,2,155,5,0,152,2,0,1,0,0
246675545449582_1193370614113399,4,109,13,0,104,5,0,0,0,0
246675545449582_1193100794140381,4,117,16,0,104,11,2,0,0,0
246675545449582_1193098504140610,4,112,7,0,101,11,0,0,0,0
246675545449582_1193082417475552,2,132,3,0,123,5,4,0,0,0
246675545449582_1193081934142267,2,149,3,0,142,5,2,0,0,0
246675545449582_1192627357521058,2,274,9,0,260,11,2,1,0,0
246675545449582_1192593007524493,4,195,95,5,162,30,0,3,0,0
246675545449582_1192139650903162,4,138,25,2,125,11,2,0,0,0
246675545449582_1191470297636764,4,627,266,8,519,105,2,0,1,0
246675545449582_1187218114728649,2,289,23,0,279,7,3,0,0,0
246675545449582_1186387618145032,2,209,10,0,204,4,1,0,0,0
246675545449582_1186230391494088,4,162,75,6,145,16,0,1,0,0
246675545449582_1185479421569185,2,265,11,0,259,6,0,0,0,0
246675545449582_1184777364972724,2,301,10,0,294,6,1,0,0,0
246675545449582_1183760258407768,2,213,5,0,209,4,0,0,0,0
246675545449582_1183759621741165,2,210,3,0,206,4,0,0,0,0
246675545449582_1182845348499259,2,408,11,0,393,9,6,0,0,0
246675545449582_1175029279280866,2,223,6,0,215,7,1,0,0,0
246675545449582_1174777059306088,2,359,4,0,353,5,1,0,0,0
246675545449582_1174655055984955,2,535,2,0,485,27,0,0,23,0
246675545449582_1173110559472738,2,362,10,0,354,8,0,0,0,0
246675545449582_1171413546309106,4,266,165,10,215,42,3,4,2,0
246675545449582_1170579266392534,2,156,2,0,151,5,0,0,0,0
246675545449582_1170378916412569,4,110,21,0,102,6,1,1,0,0
246675545449582_1170184399765354,4,446,6148,120,352,80,7,5,0,2
246675545449582_1170144596436001,3,102,1,0,102,0,0,0,0,0
246675545449582_1169554633161664,2,161,6,0,158,3,0,0,0,0
246675545449582_1169527336497727,2,279,8,0,273,6,0,0,0,0
246675545449582_1168502879933506,2,288,6,0,281,5,2,0,0,0
246675545449582_1167223483394779,2,230,8,0,221,8,1,0,0,0
246675545449582_1166277320156062,2,271,12,0,262,6,3,0,0,0
